venue_id,name,slug,address,city,city_slug,country,latitude,longitude,rating_score,rating_volume,price_range,online,delivers,delivery_price,estimate_minutes,estimate_range,short_description,tags,scraped_at
6583f6fcf66e651c1a1e29ab,Güngöroğlu Paxlava Badamdar,gungoroglu-pakhlava-badamdar, Badamdar highway 111A,Baku,baku,AZE,40.34153899,49.81065546,9.4,50,2,True,True,0.0,45,40-50,Şirin yeyək və şirin danışaq 🍬,"paxlava,şirniyyatlar,azərbəycan",2026-02-10T20:08:02.310274
6887441973abd0b98e0cce71,Anjeer Azerbaijan Crescent Mall,anjeer-azerbaijan-crescent-mall,"Cresent mall, B1 floor",Baku,baku,AZE,40.3740625,49.8603125,9.2,15,2,True,True,0.0,35,30-40,Anjeer – Keyfiyyətin və mirasın ahəngi,"meyvə,türk,qəlyanaltılar",2026-02-10T20:08:03.095581
68d28cafb5799c3ec1152236,Muffin Cafe & Pastry Elmlər,muffin-cafe-pastry-elmler,"Yasamal district, Alasgar Alakbarov street, entrance 35B",Baku,baku,AZE,40.370250675358676,49.817921939718985,8.6,29,2,True,True,0.0,40,35-45,Sevgi ilə hazırlanıb ❤️,"un məmulatları,tort,desert",2026-02-10T20:08:03.857942
620955b676b458cb555e51c2,CHICCO Dəniz Mall,chicco-daniz-mall,"""Deniz Mall"" Shopping Center, Neftchilar ave. 26a, 2nd floor",Baku,baku,AZE,40.35826669,49.83687416,9.4,71,2,True,True,0.0,45,40-50,Chicco - Körpənin olduğu hər yerdə,"baby,baby clothes,uşaqlar",2026-02-10T20:08:04.671041
668bbaed980f6d0ec56717e9,Safa Cake Bakery Əcəmi,safa-cake-bakery-ajami,"Binəqədi r-nu, Hüseybala Əliyev 80H",Baku,baku,AZE,40.41093271,49.81868122,8.6,10,1,True,True,0.0,55,50-60,Qiymətindən daha zəngin tərkib,"un məmulatları,tort,pankeyk",2026-02-10T20:08:05.505853
63315ea253ecd6e47d40f174,Food Fish,food-fish,"Narimanov district, Ashig Molla Cume street, home 15",Baku,baku,AZE,40.39927899,49.8703675,8.6,39,3,True,True,0.0,40,35-45,Food Fish,"balıq,canned food,dəniz məhsulları",2026-02-10T20:08:06.457957
634d1231739ea0c21d8714c7,Real Beauty Shop Torqovaya,real-beauty-shop-torqovaya,"Sabail district, Nizami street. 68",Baku,baku,AZE,40.37374432,49.84337813,9.4,85,2,True,True,0.0,20,15-25,Dəriniz üçün ən yaxşısı,make up ,2026-02-10T20:08:07.294022
6901d022aa248d7d151ebdc2,Zoo Zoom,zoo-zoom,"Yasamal rayonu, Əhməd Cavad",Baku,baku,AZE,40.3793375,49.8022969,8.4,11,2,True,True,0.0,45,40-50,"Sevgi, qayğı və bir az da mırıldanma 🐾","pet food,pet supply,it yeməyi",2026-02-10T20:08:08.142797
63458e3e4e3fa1eaf006b08d,Knopka,knopka,"Nasimi district, M. Jafarov 10",Baku,baku,AZE,40.40589129,49.81141037,9.4,122,2,True,True,0.0,50,45-55,Knopka,"office supplies,konfet,uşaqlar",2026-02-10T20:08:08.917845
61542bb1247c7b5885bff512,TaBaR Vape & Tobacco by FOF,fof-romio-store,"Baku city, Sahil shopping center AZ1010 Baku Azerbaijan 1014 Baku Azerbaijan",Baku,baku,AZE,40.37202199,49.84386686,8.8,39,2,True,True,0.0,20,15-25,by Daily Dose🫶🏻,"alcohol,Electronics",2026-02-10T20:08:09.765267
68bebbc36877896357442a8d,Zoo Doberman,doberman-zoo,"Badamdar qes, Seymur Memmedov 8",Baku,baku,AZE,40.3389625,49.80514059999999,,,2,True,True,0.0,55,50-60,Sevimli dostlarımıza daha yaxın 🐾,"pet food,pet supply",2026-02-10T20:08:10.554040
68ef74bed6070d4864b734f4,Yumyard Indian Spice Market,yumyard-indian-spice-market,"Sebail area, Badamdar road, bulding 127B",Baku,baku,AZE,40.3464875,49.8107031,9.0,28,2,True,True,0.0,45,40-50,🇮🇳,"hindi,groceries,grocery",2026-02-10T20:08:11.548213
610ce336120510ed4f41a75b,Karandash Store,karandash-store,"Yasamal district, Inshaatchilar ave. Home 38",Baku,baku,AZE,40.38499803,49.82390566,9.0,54,2,True,True,0.0,35,30-40,Uşaqlar üçün ən yaxşısı,"uşaqlar,toys ,stationery",2026-02-10T20:08:12.311879
